TIME FRAME,open,high,low,close,VOLUME
5/5/2023 12:25,123.13,123.35,123.12,123.35,33541
5/5/2023 12:20,123.23,123.2347,123.14,123.14,19806
5/5/2023 12:15,123.29,123.3056,123.23,123.2499,23185
5/5/2023 12:10,123.3,123.34,123.25,123.29,25874
5/5/2023 12:05,123.53,123.55,123.3,123.31,28347
5/5/2023 12:00,123.51,123.56,123.46,123.5391,25630
5/5/2023 11:55,123.505,123.5242,123.44,123.51,16277
5/5/2023 11:50,123.37,123.525,123.365,123.4847,18727
5/5/2023 11:45,123.46,123.49,123.38,123.38,23681
5/5/2023 11:40,123.52,123.57,123.3271,123.47,65098
5/5/2023 11:35,123.49,123.575,123.46,123.53,47021
5/5/2023 11:30,123.497,123.497,123.38,123.48,47512
5/5/2023 11:25,123.51,123.51,123.3686,123.5012,44358
5/5/2023 11:20,123.58,123.6,123.475,123.4981,25923
5/5/2023 11:15,123.5616,123.6439,123.49,123.59,26002
5/5/2023 11:10,123.78,123.7821,123.57,123.58,25552
5/5/2023 11:05,123.6719,123.82,123.6719,123.75,29735
5/5/2023 11:00,123.69,123.73,123.5859,123.66,421772
5/5/2023 10:55,123.53,123.73,123.5235,123.7089,77771
5/5/2023 10:50,123.52,123.54,123.38,123.52,39987
5/5/2023 10:45,123.73,123.74,123.49,123.54,51473
5/5/2023 10:40,123.69,123.75,123.64,123.69,45758
5/5/2023 10:35,123.67,123.73,123.61,123.6889,38687
5/5/2023 10:30,123.7,123.74,123.6,123.66,78293
5/5/2023 10:25,123.89,123.94,123.675,123.7,34175
5/5/2023 10:20,123.77,123.87,123.705,123.8568,55418
5/5/2023 10:15,124.02,124.05,123.78,123.78,63053
5/5/2023 10:10,123.94,124.1,123.9,124.05,38242
5/5/2023 10:05,123.95,123.99,123.73,123.92,54853
5/5/2023 10:00,123.81,123.93,123.77,123.92,29831
5/5/2023 9:55,123.85,123.8999,123.72,123.81,63127
5/5/2023 9:50,123.94,124.08,123.7311,123.81,65096
5/5/2023 9:45,123.75,124.07,123.75,123.94,83080
5/5/2023 9:40,123.58,123.73,123.27,123.73,70342
5/5/2023 9:35,123.11,123.73,123.11,123.55,116107
5/5/2023 9:30,123.48,123.5,123.48,123.5,613
5/5/2023 9:00,123.26,123.26,123.26,123.26,550
5/5/2023 8:55,123.45,123.45,123.45,123.45,125
5/5/2023 8:50,123.07,123.18,122.57,122.57,4097
5/5/2023 8:40,123,123,123,123,606
5/5/2023 8:35,123,123,123,123,137
5/5/2023 8:20,123,123,123,123,200
5/5/2023 8:15,123,123,123,123,3327
5/5/2023 8:05,122.9,122.9,122.85,122.9,1284
5/5/2023 7:05,122.81,122.81,122.81,122.81,203
5/5/2023 6:20,122.85,122.85,122.85,122.85,106
5/4/2023 19:45,122.7,122.7,122.7,122.7,501
